name	Genome	NCBI_Taxid	superkingdom	phylum	class	order	family	genus	species
Lentinula raphanica INPA1820 v1.0	LraINPA1820_1	153919	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	Lentinula raphanica
Coprinopsis sp. MPI-PUGE-AT-0042 v1.0	Copph3	2107740	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Coprinus	Coprinus sp.
Fusarium sp. FSSC 11 v1.0	FusspF11_1	2747968	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium vanettenii
Paraphoma chrysanthemicola MPI-SDFR-AT-0120 v1.0	Parchr1	798071	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma chrysanthemicola
Chaetomium funicola MPI-SDFR-AT-0129 v1.0	Chafu1	1769349	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium sp.
Phycomyces blakesleeanus UBC1 v1.0	Phybla1	4837	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Phycomycetaceae	Phycomyces	Phycomyces blakesleeanus
Yarrowia lipolytica CLIB89(W29)	YarliW29_1	755266	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Yarrowia lipolytica
Penicillium atramentosum RS17 v1.0	Penatra1	36652	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium atramentosum
Geranomyces variabilis JEL559 v1.0	Gervar1	109894	Eukaryota	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Powellomycetaceae	Geranomyces	Geranomyces variabilis
Lentinula edodes W1-26 v1.0	Lentinedodes1	5353	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Lentinula	Lentinula edodes
Roridomyces roridus 9284 v1.0	Rorror1	1738132	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	NA	Roridomyces	Roridomyces roridus
Mycena latifolia 10383 v1.0	Myclat1	1033247	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena latifolia
Phaeomoniellales  sp. NC0930 v1.0	ClaNC0930_1	1907227	Eukaryota	Ascomycota	Eurotiomycetes	Phaeomoniellales	NA	NA	Phaeomoniellales sp. NC0930
Penicillium sp. NC0857 v1.0	ThyNC0857_1	2185274	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium sp. NC0857
Pyronema omphalodes CBS 144459 v1.0	Pyrom1	337075	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pyronema	Pyronema omphalodes
Tricharina aff. praecox DOB1048 v1.0	Pezsub1	2572650	Eukaryota	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Tricharina	Tricharina aff. praecox
