supergroup	division	subdivision	class	order	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Archaeplastida	Rhodophyta	Rhodophyta	Stylonematophyceae	Stylonematales	1	7	1	0	5654	5654	5654
Archaeplastida	Glaucophyta	Glaucophyta_X	Glaucocystophyceae	Glaucophystales	1	5	1	0	5381	5381	5381
CRuMS	Mantamonadidea	Mantamonadidea_X	Mantamonadida	Mantamonadida_X	1	3	1	0	6527	6527	6527
Excavata	Discoba	Euglenozoa	Kinetoplastea	Trypanosomatida	82	35	11	0.00102358246086514	4809	7448	6656.13414634146
Excavata	Discoba	Euglenozoa	Euglenozoa_X	Diplonemea	1	36	1	0	6189	6189	6189
Excavata	Discoba	Euglenozoa	Diplonemea	Diplonemida	1	6	1	0	4684	4684	4684
Excavata	Discoba	Heterolobosea	Tetramitia	Eutetramitia	7	6	1	0	5605	6105	5766.28571428571
Excavata	Metamonada	Fornicata	Fornicata_X	Fornicata_XX	2	6	3	0.00431024721002275	5580	5975	5777.5
Excavata	Metamonada	Preaxostyla	Preaxostyla_X	Preaxostyla_XX	1	17	2	0.0029580500324923	4757	6047	4757
Haptista	Haptophyta	Haptophyta_X	Prymnesiophyceae	Isochrysidales	1	20	1	0	5670	5670	5670
Haptista	Haptophyta	Haptophyta_X	Prymnesiophyceae	Prymnesiales	1	1	1	0	4915	4915	4915
Haptista	Haptophyta	Haptophyta_X	Haptophyta_XX	Pavlovales	1	8	1	0	6020	6020	6020
Opisthokonta	Metazoa	Arthropoda	Insecta	Blattodea	3	65	27	0.00676490720035913	4725	10418	5544
Opisthokonta	Metazoa	Arthropoda	Insecta	Coleoptera	63	82	10	0.00850724705525178	4867	12377	7528.11111111111
Opisthokonta	Metazoa	Arthropoda	Insecta	Diptera	491	4691	139	0.0105817355089423	4524	16463	6652.23014256619
Opisthokonta	Metazoa	Arthropoda	Insecta	Ephemeroptera	4	20	2	0.00883375416536296	5500	8923	5726.5
Opisthokonta	Metazoa	Arthropoda	Insecta	Hemiptera	31	271	9	0.0160535960201207	4508	13228	6669.12903225806
Opisthokonta	Metazoa	Arthropoda	Insecta	Hymenoptera	104	239	61	0.0203093306901699	4538	15523	7348.22115384615
Opisthokonta	Metazoa	Arthropoda	Insecta	Lepidoptera	978	386	40	0.00380841988820563	4429	12283	6610.5081799591
Opisthokonta	Metazoa	Arthropoda	Insecta	Mantodea	5	396	18	0.0104951032114315	4962	12910	6797.6
Opisthokonta	Metazoa	Arthropoda	Insecta	Odonata	10	492	24	0.0166807824553331	4501	12317	7289.3
Opisthokonta	Metazoa	Arthropoda	Insecta	Orthoptera	15	3555	69	0.0207274027560623	4395	12398	5834.6
