supergroup	division	subdivision	class	genomes	max.rDNA_copies	max.rDNA_variants	avg.distance	min.length	max.length	mean.length
Archaeplastida	Viridiplantae	Chlorophyta	Chloropicophyceae	2	3	1	0	5633	5633	5633
Archaeplastida	Viridiplantae	Chlorophyta	Pyramimonadophyceae	3	5	1	0	4586	5604	4925.66666666667
Archaeplastida	Viridiplantae	Chlorophyta	Chlorodendrophyceae	1	1	1	0	5678	5678	5678
Archaeplastida	Viridiplantae	Chlorophyta	Pedinophyceae	3	6	1	0	5645	5704	5664.66666666667
Archaeplastida	Rhodophyta	Rhodophyta	Bangiophyceae	16	12	10	0.00900798489305146	5006	6634	6357.125
Archaeplastida	Rhodophyta	Rhodophyta	Florideophyceae	12	21	5	0.00199267907527388	4694	6317	5729.33333333333
Archaeplastida	Rhodophyta	Rhodophyta	Stylonematophyceae	1	7	1	0	5654	5654	5654
Archaeplastida	Glaucophyta	Glaucophyta_X	Glaucocystophyceae	1	5	1	0	5381	5381	5381
CRuMS	Mantamonadidea	Mantamonadidea_X	Mantamonadida	1	3	1	0	6527	6527	6527
Excavata	Discoba	Euglenozoa	Kinetoplastea	82	35	11	0.00102358246086514	4809	7448	6656.13414634146
Excavata	Discoba	Euglenozoa	Euglenozoa_X	1	36	1	0	6189	6189	6189
Excavata	Discoba	Euglenozoa	Diplonemea	1	6	1	0	4684	4684	4684
Excavata	Discoba	Heterolobosea	Tetramitia	7	6	1	0	5605	6105	5766.28571428571
Excavata	Metamonada	Fornicata	Fornicata_X	2	6	3	0.00431024721002275	5580	5975	5777.5
Excavata	Metamonada	Preaxostyla	Preaxostyla_X	1	17	2	0.0029580500324923	4757	6047	4757
Haptista	Haptophyta	Haptophyta_X	Prymnesiophyceae	2	20	1	0	4915	5670	5292.5
Haptista	Haptophyta	Haptophyta_X	Haptophyta_XX	1	8	1	0	6020	6020	6020
Opisthokonta	Metazoa	Arthropoda	Insecta	1745	4691	139	0.00749610115695322	4395	16463	6694.98796561605
Opisthokonta	Metazoa	Arthropoda	Arachnida	63	538	75	0.0187554538676452	4656	13097	6358.4126984127
Opisthokonta	Metazoa	Arthropoda	Merostomata	5	62	7	0.0122549450922632	5281	10682	8011.2
Opisthokonta	Metazoa	Arthropoda	Malacostraca	3	1	1	0	5183	5842	5423
Opisthokonta	Metazoa	Arthropoda	Hexanauplia	6	13	4	0.0101722977983685	5051	10502	7734.83333333333
Opisthokonta	Metazoa	Arthropoda	Collembola	14	166	6	0.00389882889109773	4936	10746	6590.5
Opisthokonta	Metazoa	Arthropoda	Branchiopoda	3	39	9	0.0102110476948919	5933	7797	6757.33333333333
Opisthokonta	Metazoa	Arthropoda	Thecostraca	6	22	4	0.000284524850097984	5877	12431	6195.5
Opisthokonta	Metazoa	Arthropoda	Chilopoda	1	4	4	0.0701556737061576	5193	7347	5439
Opisthokonta	Metazoa	Arthropoda	Ostracoda	3	2	2	0.00639930039502959	6158	6516	6378.66666666667
Opisthokonta	Metazoa	Chordata	Actinopteri	407	1007	58	0.0145031993873042	4162	13305	5287.14250614251
Opisthokonta	Metazoa	Chordata	Amphibia	5	7	7	0.0199335277005448	4950	6922	5557.2
Opisthokonta	Metazoa	Chordata	Hyperoartia	6	22	5	0.00306554888678445	4728	11428	7859.5
Opisthokonta	Metazoa	Chordata	Appendicularia	2	5	1	0	4560	6060	5310
Opisthokonta	Metazoa	Chordata	Chondrichthyes	7	2	1	0	5179	6952	6515.28571428571
Opisthokonta	Metazoa	Chordata	Ascidiacea	11	888	665	0.00574215387575718	4410	12563	5827.09090909091
Opisthokonta	Metazoa	Chordata	Lepidosauria	1	4	4	0.0596167127639534	6058	6768	6768
Opisthokonta	Metazoa	Chordata	Dipnoi	2	106	106	0.177975918312638	4649	12392	6255
Opisthokonta	Metazoa	Chordata	Cladistia	1	4	4	0.0140642686959011	7027	7153	7027
Opisthokonta	Metazoa	Mollusca	Gastropoda	44	306	18	0.0387903909609517	4707	7140	6305.70454545455
Opisthokonta	Metazoa	Mollusca	Bivalvia	64	505	96	0.0182104501523962	4640	11390	6438.109375
